bin 20000 de 0.00773635
threshold 0
1.16819 9.5865e-08 1.47243e-07
1.17592 9.57732e-08 1.47156e-07
1.18366 9.56808e-08 1.47071e-07
1.1914 9.55877e-08 1.46986e-07
1.19913 9.54942e-08 1.46903e-07
1.20687 9.54e-08 1.46822e-07
1.21461 9.53054e-08 1.46741e-07
1.22234 9.52102e-08 1.46662e-07
1.23008 9.51144e-08 1.46584e-07
1.23782 9.50182e-08 1.46507e-07
1.24555 9.49215e-08 1.46431e-07
1.25329 9.48243e-08 1.46356e-07
1.26102 9.47266e-08 1.46283e-07
1.26876 9.46284e-08 1.4621e-07
1.2765 9.45298e-08 1.46139e-07
1.28423 9.44308e-08 1.46068e-07
1.29197 9.43313e-08 1.45999e-07
1.29971 9.42314e-08 1.4593e-07
1.30744 9.41311e-08 1.45863e-07
1.31518 9.40304e-08 1.45796e-07
1.32292 9.39293e-08 1.45731e-07
1.33065 9.38278e-08 1.45666e-07
1.33839 9.3726e-08 1.45603e-07
1.34612 9.36238e-08 1.4554e-07
1.35386 9.35212e-08 1.45478e-07
1.3616 9.34183e-08 1.45418e-07
1.36933 9.33151e-08 1.45358e-07
1.37707 9.32115e-08 1.45299e-07
1.38481 9.31077e-08 1.4524e-07
1.39254 9.30035e-08 1.45183e-07
1.40028 9.2899e-08 1.45126e-07
1.40802 9.27943e-08 1.45071e-07
1.41575 9.26893e-08 1.45016e-07
1.42349 9.2584e-08 1.44961e-07
1.43122 9.24784e-08 1.44908e-07
1.43896 9.23726e-08 1.44855e-07
1.4467 9.22666e-08 1.44804e-07
1.45443 9.21603e-08 1.44753e-07
1.46217 9.20537e-08 1.44702e-07
1.46991 9.1947e-08 1.44653e-07
1.47764 9.184e-08 1.44604e-07
1.48538 9.17329e-08 1.44555e-07
1.49312 9.16255e-08 1.44508e-07
1.50085 9.15179e-08 1.44461e-07
1.50859 9.14102e-08 1.44415e-07
1.51632 9.13023e-08 1.44369e-07
1.52406 9.11942e-08 1.44325e-07
1.5318 9.10859e-08 1.4428e-07
1.53953 9.09775e-08 1.44237e-07
1.54727 9.08689e-08 1.44194e-07
1.55501 9.07602e-08 1.44152e-07
1.56274 9.06514e-08 1.4411e-07
1.57048 9.05424e-08 1.44069e-07
1.57821 9.04333e-08 1.44028e-07
1.58595 9.0324e-08 1.43988e-07
1.59369 9.02147e-08 1.43949e-07
1.60142 9.01052e-08 1.4391e-07
1.60916 8.99957e-08 1.43872e-07
1.6169 8.9886e-08 1.43834e-07
1.62463 8.97762e-08 1.43797e-07
1.63237 8.96664e-08 1.43761e-07
1.64011 8.95565e-08 1.43724e-07
1.64784 8.94465e-08 1.43689e-07
1.65558 8.93364e-08 1.43654e-07
1.66331 8.92263e-08 1.43619e-07
1.67105 8.91161e-08 1.43585e-07
1.67879 8.90059e-08 1.43552e-07
1.68652 8.88956e-08 1.43519e-07
1.69426 8.87852e-08 1.43486e-07
1.702 8.86748e-08 1.43454e-07
1.70973 8.85644e-08 1.43422e-07
1.71747 8.8454e-08 1.43391e-07
1.72521 8.83435e-08 1.4336e-07
1.73294 8.8233e-08 1.4333e-07
1.74068 8.81225e-08 1.433e-07
1.74841 8.80119e-08 1.43271e-07
1.75615 8.79014e-08 1.43242e-07
1.76389 8.77908e-08 1.43213e-07
1.77162 8.76803e-08 1.43185e-07
1.77936 8.75697e-08 1.43157e-07
1.7871 8.74592e-08 1.4313e-07
1.79483 8.73486e-08 1.43103e-07
1.80257 8.72381e-08 1.43076e-07
1.81031 8.71276e-08 1.4305e-07
1.81804 8.70171e-08 1.43024e-07
1.82578 8.69066e-08 1.42999e-07
1.83351 8.67962e-08 1.42973e-07
1.84125 8.66857e-08 1.42949e-07
1.84899 8.65754e-08 1.42924e-07
1.85672 8.6465e-08 1.429e-07
1.86446 8.63547e-08 1.42877e-07
1.8722 8.62444e-08 1.42853e-07
1.87993 8.61342e-08 1.4283e-07
1.88767 8.60241e-08 1.42808e-07
1.89541 8.59139e-08 1.42785e-07
1.90314 8.58039e-08 1.42763e-07
1.91088 8.56939e-08 1.42742e-07
1.91861 8.55839e-08 1.4272e-07
1.92635 8.5474e-08 1.42699e-07
1.93409 8.53642e-08 1.42679e-07
1.94182 8.52545e-08 1.42658e-07
1.94956 8.51448e-08 1.42638e-07
1.9573 8.50352e-08 1.42618e-07
1.96503 8.49257e-08 1.42599e-07
1.97277 8.48162e-08 1.42579e-07
1.98051 8.47069e-08 1.4256e-07
1.98824 8.45976e-08 1.42542e-07
1.99598 8.44884e-08 1.42523e-07
2.00371 8.43793e-08 1.42505e-07
2.01145 8.42703e-08 1.42487e-07
2.01919 8.41613e-08 1.4247e-07
2.02692 8.40525e-08 1.42452e-07
2.03466 8.39438e-08 1.42435e-07
2.0424 8.38351e-08 1.42418e-07
2.05013 8.37266e-08 1.42402e-07
2.05787 8.36182e-08 1.42385e-07
2.0656 8.35099e-08 1.42369e-07
2.07334 8.34016e-08 1.42353e-07
2.08108 8.32935e-08 1.42338e-07
2.08881 8.31855e-08 1.42322e-07
2.09655 8.30776e-08 1.42307e-07
2.10429 8.29699e-08 1.42292e-07
2.11202 8.28622e-08 1.42278e-07
2.11976 8.27547e-08 1.42263e-07
2.1275 8.26472e-08 1.42249e-07
2.13523 8.25399e-08 1.42235e-07
2.14297 8.24327e-08 1.42221e-07
2.1507 8.23257e-08 1.42207e-07
2.15844 8.22188e-08 1.42194e-07
2.16618 8.21119e-08 1.42181e-07
2.17391 8.20053e-08 1.42168e-07
2.18165 8.18987e-08 1.42155e-07
2.18939 8.17923e-08 1.42142e-07
2.19712 8.1686e-08 1.4213e-07
2.20486 8.15799e-08 1.42118e-07
2.2126 8.14738e-08 1.42105e-07
2.22033 8.1368e-08 1.42094e-07
2.22807 8.12622e-08 1.42082e-07
2.2358 8.11566e-08 1.4207e-07
2.24354 8.10511e-08 1.42059e-07
2.25128 8.09458e-08 1.42048e-07
2.25901 8.08406e-08 1.42037e-07
2.26675 8.07356e-08 1.42026e-07
2.27449 8.06307e-08 1.42016e-07
2.28222 8.05259e-08 1.42005e-07
2.28996 8.04213e-08 1.41995e-07
2.2977 8.03169e-08 1.41985e-07
2.30543 8.02125e-08 1.41975e-07
2.31317 8.01084e-08 1.41965e-07
2.3209 8.00044e-08 1.41955e-07
2.32864 7.99005e-08 1.41946e-07
2.33638 7.97968e-08 1.41936e-07
2.34411 7.96932e-08 1.41927e-07
2.35185 7.95898e-08 1.41918e-07
2.35959 7.94866e-08 1.41909e-07
2.36732 7.93835e-08 1.419e-07
2.37506 7.92805e-08 1.41892e-07
2.3828 7.91777e-08 1.41883e-07
2.39053 7.90751e-08 1.41875e-07
2.39827 7.89726e-08 1.41867e-07
2.406 7.88703e-08 1.41858e-07
2.41374 7.87682e-08 1.41851e-07
2.42148 7.86662e-08 1.41843e-07
2.42921 7.85643e-08 1.41835e-07
2.43695 7.84627e-08 1.41827e-07
2.44469 7.83612e-08 1.4182e-07
2.45242 7.82598e-08 1.41813e-07
2.46016 7.81586e-08 1.41806e-07
2.4679 7.80576e-08 1.41798e-07
2.47563 7.79568e-08 1.41791e-07
2.48337 7.78561e-08 1.41785e-07
2.4911 7.77555e-08 1.41778e-07
2.49884 7.76552e-08 1.41771e-07
2.50658 7.7555e-08 1.41765e-07
2.51431 7.74549e-08 1.41758e-07
2.52205 7.73551e-08 1.41752e-07
2.52979 7.72554e-08 1.41746e-07
2.53752 7.71559e-08 1.4174e-07
2.54526 7.70565e-08 1.41734e-07
2.55299 7.69573e-08 1.41728e-07
2.56073 7.68583e-08 1.41722e-07
2.56847 7.67594e-08 1.41717e-07
2.5762 7.66608e-08 1.41711e-07
2.58394 7.65622e-08 1.41706e-07
2.59168 7.64639e-08 1.417e-07
2.59941 7.63657e-08 1.41695e-07
2.60715 7.62677e-08 1.4169e-07
2.61489 7.61699e-08 1.41685e-07
2.62262 7.60722e-08 1.4168e-07
2.63036 7.59747e-08 1.41675e-07
2.63809 7.58774e-08 1.4167e-07
2.64583 7.57803e-08 1.41666e-07
2.65357 7.56833e-08 1.41661e-07
2.6613 7.55865e-08 1.41656e-07
2.66904 7.54899e-08 1.41652e-07
2.67678 7.53934e-08 1.41648e-07
2.68451 7.52971e-08 1.41643e-07
2.69225 7.5201e-08 1.41639e-07
2.69999 7.51051e-08 1.41635e-07
2.70772 7.50093e-08 1.41631e-07
2.71546 7.49137e-08 1.41627e-07
2.72319 7.48183e-08 1.41623e-07
2.73093 7.47231e-08 1.41619e-07
2.73867 7.4628e-08 1.41616e-07
2.7464 7.45331e-08 1.41612e-07
2.75414 7.44384e-08 1.41608e-07
2.76188 7.43439e-08 1.41605e-07
2.76961 7.42495e-08 1.41601e-07
2.77735 7.41553e-08 1.41598e-07
