5133 20 5 
5159 17 8 
5001 19 4 
5158 13 8 
5104 19 5 
5056 8 4 
5108 25 9 
5070 12 8 
4961 15 4 
5033 10 5 
5250 15 4 
5230 18 9 
5049 10 0 
5010 17 2 
5059 16 11 
5067 22 10 
5198 17 6 
5068 16 5 
5128 14 6 
5121 13 10 
5012 13 7 
5003 12 4 
4943 12 7 
5218 7 10 
5258 17 5 
5079 14 4 
5133 16 5 
5253 19 5 
4939 12 2 
5048 12 1 
5100 12 6 
5047 15 4 
5032 13 5 
4837 18 1 
4977 9 4 
4971 8 8 
5019 13 3 
5139 8 6 
4993 15 9 
5050 15 1 
5140 16 5 
5159 15 4 
5047 17 3 
4977 8 4 
4978 7 4 
5009 11 1 
4950 12 2 
5144 17 8 
5243 12 3 
5240 13 7 
5097 6 2 
5109 10 3 
5069 9 3 
5032 5 6 
4965 10 6 
5019 12 7 
5091 10 4 
5175 14 6 
5035 13 6 
5144 17 5 
5235 11 3 
5164 13 9 
5114 18 11 
5030 10 9 
5186 15 12 
5228 14 5 
4990 17 5 
4961 15 4 
5095 5 6 
5220 16 9 
5190 22 4 
5020 11 5 
5013 11 2 
4979 15 6 
5054 11 3 
5070 11 5 
5066 19 8 
5134 14 5 
5208 13 3 
5114 10 8 
5110 16 10 
5180 15 7 
5156 14 13 
5241 19 3 
5015 13 4 
5094 13 7 
5221 12 4 
5004 12 3 
4966 15 3 
5060 17 5 
5200 16 4 
4938 12 5 
4990 19 3 
4979 12 5 
4960 16 2 
4964 11 5 
5169 15 12 
5049 16 6 
5202 11 4 
5065 14 7 
4999 16 4 
5064 14 7 
5207 22 2 
4850 13 6 
4974 11 7 
5088 11 7 
5024 16 1 
5017 9 2 
5154 17 6 
5139 14 5 
5128 15 13 
5193 9 7 
4791 11 3 
4961 10 4 
5036 7 4 
5099 10 5 
5031 14 3 
5137 14 2 
5114 20 6 
5128 13 13 
4987 16 4 
4980 10 6 
5168 11 8 
5173 14 5 
5080 16 6 
5022 10 2 
5097 13 0 
5128 16 6 
5306 13 8 
5341 11 8 
4971 20 4 
4963 10 4 
5029 14 2 
5074 8 2 
4975 16 5 
5019 12 4 
5111 15 3 
5220 15 3 
5171 19 7 
5185 10 6 
5207 22 4 
5177 12 3 
5083 14 4 
5090 11 9 
5125 15 5 
5169 16 9 
5201 16 10 
4921 17 6 
5026 9 3 
4941 12 2 
5180 13 5 
5107 11 3 
4926 13 2 
4998 15 6 
4983 10 7 
5031 10 6 
5013 13 6 
5112 7 3 
5109 5 5 
4994 10 4 
4984 8 8 
5064 11 7 
5039 20 5 
5022 8 4 
5000 11 4 
5185 8 6 
5153 16 9 
4949 8 2 
5068 12 5 
5088 9 3 
5154 16 7 
5117 12 4 
5195 11 4 
5205 14 5 
5162 11 4 
5094 20 7 
4952 10 9 
4907 11 3 
5101 16 5 
4937 14 4 
5094 10 8 
5160 14 7 
5151 12 7 
5151 14 6 
5241 13 5 
5129 8 4 
5122 14 9 
4979 15 3 
5224 11 6 
5187 13 9 
4964 14 3 
4971 12 1 
5052 12 3 
5062 9 3 
4955 8 0 
5089 12 0 
5019 6 0 
4927 20 9 
5064 11 6 
5081 6 1 
4979 9 4 
4989 11 3 
